id,from,to,flight,time,flat,flng,tlat,tlng,source
0,OZ323,2020-02-29,首尔,成都,https://m.weibo.cn/status/4477441911458278?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
1,EK450,2020-02-26,伊朗,新西兰,https://m.weibo.cn/status/4476936703452050?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
2,OZ349,2020-02-25,首尔,南京,https://m.weibo.cn/status/4476154226140250?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
3,7C8501,2020-02-25,仁川,威海,https://m.weibo.cn/status/4476292550733025?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
4,SU204,2020-02-24,莫斯科,北京,https://m.weibo.cn/status/4477301075219619?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
5,SU513,2020-02-24,德黑兰,莫斯科,https://m.weibo.cn/status/4477301075219619?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
6,LY382,2020-02-23,米兰,以色列,https://m.weibo.cn/status/4477015518735105?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
7,SU206,2020-02-20,莫斯科,上海,https://m.weibo.cn/status/4476342559517765?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
8,SU513,2020-02-19,伊朗,莫斯科,https://m.weibo.cn/status/4476316516792875?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
9,AQ1275,2020-02-16,广州,兰州,https://m.weibo.cn/status/4475442931185101?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
10,AQ1276,2020-02-16,,江西,https://m.weibo.cn/status/4475442931185101?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
11,KE958,2020-02-16,以色列,仁川,http://www.chinanews.com/gj/2020/02-26/9105286.shtml
12,MU2416,2020-02-10,北京,兰州,https://m.weibo.cn/1791298665/4473138936764424
13,SC4909,2020-02-09,青岛,南昌,https://baijiahao.baidu.com/s?id=1658399645101527513&wfr=spider&for=pc
14,G52759,2020-02-08,重庆,沈阳,https://m.weibo.cn/status/4471810936458667?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
15,CZ6218,2020-02-05,北京,哈尔滨,https://mp.weixin.qq.com/s/_DWkRVmiNyne5Ui1k-l7TA
16,CZ3013,2020-02-02,大连,台湾,https://weibo.com/3260025321/It5DKhJau?refer_flag=1001030103_&type=comment#_rnd1581055651380
17,MF826,2020-02-02,巴黎,长乐机场,http://www.taihainet.com/news/fujian/gcdt/2020-02-06/2352840_2.html
18,HU7685,2020-02-02,海南,郑州,https://m.weibo.cn/status/4472262763622538?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
19,CZ6203,2020-02-01,哈尔滨,北京,https://mp.weixin.qq.com/s/_DWkRVmiNyne5Ui1k-l7TA
20,JD5841,2020-01-31,海口,长春,http://www.jl.gov.cn/szfzt/jlzxd/tzgg/202002/t20200208_6829045.html
21,HU7716,2020-01-31,聊城,深圳,https://new.qq.com/rain/a/20200213A018QR00
22,DZ6294,2020-01-30,重庆,南通,https://m.weibo.cn/status/4466728639262040?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
23,ZH9543,2020-01-30,无锡,成都,https://m.weibo.cn/status/4467560940156968?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
24,8L840,2020-01-30,吉隆坡,丽江,https://m.weibo.cn/status/4468220561600812?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
25,CZ2732,2020-01-30,泸沽湖机场,重庆,https://baijiahao.baidu.com/s?id=1657547078582898525&wfr=spider&for=pc
26,QW6042,2020-01-29,南宁机场,郑州机场,https://weibo.com/3950759014/ItvkV5YBS?refer_flag=1001030103_&type=comment#_rnd1581320482336
27,QW6064,2020-01-29,泰国普吉岛,郑州,https://mp.weixin.qq.com/s/arSpzLD1RoWv7tYFwJxhqw
28,CZ6248,2020-01-29,郑州,哈尔滨,https://weibo.com/3950759014/ItvkV5YBS?refer_flag=1001030103_&type=comment#_rnd1581320482336
29,CZ3767,2020-01-28,珠海,成都,https://m.weibo.cn/status/4468160939492752?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
30,ZH9734,2020-01-28,海口,南昌,https://m.weibo.cn/status/4468211854279872?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
31,VN704,2020-01-28,越南,郑州,https://wap.peopleapp.com/article/5098032/4993697
32,GA858,2020-01-28,巴厘岛,上海,https://m.weibo.cn/2104669543/4468971035837639
33,CZ3385,2020-01-28,广州,兰州,https://mp.weixin.qq.com/s/RPfahGQ_Gg483fv3Bah4BQ
34,GX8976,2020-01-28,洛阳,三亚,https://mp.weixin.qq.com/s/vAP7K76x6btaGWiGgA8RlQ
35,CZ8312,2020-01-28,扎幌,大连,https://m.weibo.cn/1883380227/4468697815426087
36,VN474,2020-01-28,越南,沈阳,https://m.weibo.cn/status/4470108401244299?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
37,MF8019,2020-01-28,青岛,牡丹江,https://weibo.com/2753006425/ItRfl7Rlu?refer_flag=1001030103_&type=comment#_rnd1581491751235
38,FM9137,2020-01-28,郑州,银川,http://www.nxgy.gov.cn/xwzx/bmtx/202002/t20200212_1951975.html
39,CZ6100,2020-01-28,泰国,南宁,https://mp.weixin.qq.com/s/arSpzLD1RoWv7tYFwJxhqw
40,HU7755,2020-01-28,深圳,郑州,https://mp.weixin.qq.com/s/arSpzLD1RoWv7tYFwJxhqw
41,ZH9903,2020-01-28,深圳,济南,https://new.qq.com/rain/a/20200213A018QR00
42,A67273,2020-01-27,昆明,芒市,https://m.weibo.cn/status/4466791575051759?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
43,TT556,2020-01-27,墨尔本,黄金海岸,https://m.weibo.cn/status/4466689741635909?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
44,JD5859,2020-01-27,北京,南昌,https://mp.weixin.qq.com/s/HYcnAc-G5GpgEGFJSPsZBg
45,KA694,2020-01-27,香港,海口,https://m.weibo.cn/status/4467593669102378?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
46,CZ6766,2020-01-27,上海,海口,https://m.jiemian.com/article/3939138.html
47,TR114,2020-01-27,新加坡,南宁,http://wsjkw.gxzf.gov.cn/zhuantiqu/ncov/ncovfkgz/2020/0203/68329.html
48,CZ3219,2020-01-27,广州,西安,https://m.weibo.cn/status/4468708934458196?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
49,VJ5270,2020-01-27,越南芽庄,合肥,http://zwgk.hefei.gov.cn/public/19311/104669049.html
50,D7346,2020-01-27,吉隆坡,西安,https://m.weibo.cn/status/4469730079819035?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
51,G54856,2020-01-27,拉邦,重庆,https://mp.weixin.qq.com/s/rUWpiqkjD80NAkHXtWqYsw
52,SC/CA4786,2020-01-27,长沙黄花,厦门高崎,https://mp.weixin.qq.com/s/arSpzLD1RoWv7tYFwJxhqw
53,MU2986,2020-01-27,昆明,无锡,http://www.yn.gov.cn/ztgg/yqfk/jjxr/202002/t20200217_189821.html
54,TR134,2020-01-26,新加坡,西安,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiqZuRedYYUPv6wE7gpIad200126&fromapp=cctvnews&version=803&allow_comment=1
55,FD428,2020-01-26,泰国芭提雅,贵阳,https://m.weibo.cn/1973634817/4465340043663624
56,SL922,2020-01-26,曼谷,南京,https://m.weibo.cn/status/4465369836180550?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
57,FD326,2020-01-26,曼谷,南京,https://m.weibo.cn/2656274875/4465368288873938
58,MU2706,2020-01-26,昆明,南京,https://m.weibo.cn/status/4468212102567951?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0
59,CZ6406,2020-01-26,昆明,沈阳,http://www.yingkou.gov.cn/001/001002/001002001/20200204/c5fbbd0a-ec77-44cb-9951-90113d63614f.html
60,MF8148,2020-01-26,北京,长沙,https://wap.peopleapp.com/article/rmh11215778/rmh11215778
61,CA4385,2020-01-26,贵阳,郑州,https://mp.weixin.qq.com/s/RPfahGQ_Gg483fv3Bah4BQ
62,CZ6481,2020-01-26,深圳,哈尔滨,https://mp.weixin.qq.com/s/RPfahGQ_Gg483fv3Bah4BQ
63,CZ6567,2020-01-26,郑州,重庆,https://mp.weixin.qq.com/s/u5x_ZbqJJ-GBTDJ3UJiSdw
